"","Age","Gender","Impressions","Clicks","Signed_In","CTR","ageGroup","CTRGroup"
"11",49,"1",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"31",17,"0",5,1,"1",0.2,"18-","0.2-0.4"
"62",18,"1",5,1,"1",0.2,"18-","0.2-0.4"
"116",47,"0",8,1,"1",0.125,"45-54","0.0-0.2"
"122",47,"0",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"136",62,"1",11,1,"1",0.0909090909090909,"55-64","0.0-0.2"
"150",72,"1",4,1,"1",0.25,"65+","0.2-0.4"
"179",63,"0",4,1,"1",0.25,"55-64","0.2-0.4"
"195",64,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"199",43,"1",9,1,"1",0.111111111111111,"35-44","0.0-0.2"
"232",76,"1",4,1,"1",0.25,"65+","0.2-0.4"
"236",18,"1",6,2,"1",0.333333333333333,"18-","0.2-0.4"
"285",22,"0",8,1,"1",0.125,"18-24","0.0-0.2"
"322",59,"0",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"356",70,"0",4,1,"1",0.25,"65+","0.2-0.4"
"422",27,"1",5,1,"1",0.2,"25-34","0.2-0.4"
"425",21,"1",6,1,"1",0.166666666666667,"18-24","0.0-0.2"
"441",15,"1",3,1,"1",0.333333333333333,"18-","0.2-0.4"
"446",53,"0",2,1,"1",0.5,"45-54","0.4-0.6"
"475",29,"0",3,1,"1",0.333333333333333,"25-34","0.2-0.4"
"496",16,"0",10,1,"1",0.1,"18-","0.0-0.2"
"500",42,"1",5,1,"1",0.2,"35-44","0.2-0.4"
"583",36,"1",9,1,"1",0.111111111111111,"35-44","0.0-0.2"
"586",63,"1",4,1,"1",0.25,"55-64","0.2-0.4"
"594",59,"1",8,1,"1",0.125,"55-64","0.0-0.2"
"629",34,"1",8,1,"1",0.125,"25-34","0.0-0.2"
"635",24,"0",3,1,"1",0.333333333333333,"18-24","0.2-0.4"
"638",16,"1",7,1,"1",0.142857142857143,"18-","0.0-0.2"
"690",48,"1",3,1,"1",0.333333333333333,"45-54","0.2-0.4"
"723",64,"0",8,1,"1",0.125,"55-64","0.0-0.2"
"732",49,"1",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"745",29,"1",4,1,"1",0.25,"25-34","0.2-0.4"
"761",21,"1",5,1,"1",0.2,"18-24","0.2-0.4"
"809",39,"1",4,1,"1",0.25,"35-44","0.2-0.4"
"811",39,"1",8,1,"1",0.125,"35-44","0.0-0.2"
"885",60,"1",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"961",31,"1",11,1,"1",0.0909090909090909,"25-34","0.0-0.2"
"962",60,"0",3,1,"1",0.333333333333333,"55-64","0.2-0.4"
"964",74,"0",4,1,"1",0.25,"65+","0.2-0.4"
"985",80,"1",6,1,"1",0.166666666666667,"65+","0.0-0.2"
"1044",22,"1",8,1,"1",0.125,"18-24","0.0-0.2"
"1132",39,"1",9,1,"1",0.111111111111111,"35-44","0.0-0.2"
"1143",51,"1",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"1151",63,"1",8,1,"1",0.125,"55-64","0.0-0.2"
"1164",56,"0",3,1,"1",0.333333333333333,"55-64","0.2-0.4"
"1174",60,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"1198",46,"0",5,1,"1",0.2,"45-54","0.2-0.4"
"1216",19,"1",2,1,"1",0.5,"18-24","0.4-0.6"
"1219",45,"1",5,1,"1",0.2,"45-54","0.2-0.4"
"1221",29,"1",7,1,"1",0.142857142857143,"25-34","0.0-0.2"
"1269",53,"1",6,1,"1",0.166666666666667,"45-54","0.0-0.2"
"1270",70,"0",6,2,"1",0.333333333333333,"65+","0.2-0.4"
"1425",59,"1",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"1448",57,"1",4,1,"1",0.25,"55-64","0.2-0.4"
"1460",17,"1",2,1,"1",0.5,"18-","0.4-0.6"
"1479",41,"1",3,1,"1",0.333333333333333,"35-44","0.2-0.4"
"1488",14,"1",9,1,"1",0.111111111111111,"18-","0.0-0.2"
"1527",60,"0",7,1,"1",0.142857142857143,"55-64","0.0-0.2"
"1550",60,"0",8,1,"1",0.125,"55-64","0.0-0.2"
"1597",25,"0",3,1,"1",0.333333333333333,"25-34","0.2-0.4"
"1649",58,"1",6,1,"1",0.166666666666667,"55-64","0.0-0.2"
"1685",62,"1",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"1697",41,"1",10,1,"1",0.1,"35-44","0.0-0.2"
"1720",37,"1",6,1,"1",0.166666666666667,"35-44","0.0-0.2"
"1784",62,"1",9,1,"1",0.111111111111111,"55-64","0.0-0.2"
"1919",71,"0",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"1920",56,"0",5,1,"1",0.2,"55-64","0.2-0.4"
"1938",43,"0",5,1,"1",0.2,"35-44","0.2-0.4"
"1952",18,"0",3,1,"1",0.333333333333333,"18-","0.2-0.4"
"1956",11,"1",4,1,"1",0.25,"18-","0.2-0.4"
"2039",52,"0",4,1,"1",0.25,"45-54","0.2-0.4"
"2059",36,"0",5,1,"1",0.2,"35-44","0.2-0.4"
"2125",21,"0",8,1,"1",0.125,"18-24","0.0-0.2"
"2133",68,"0",9,1,"1",0.111111111111111,"65+","0.0-0.2"
"2138",14,"1",5,1,"1",0.2,"18-","0.2-0.4"
"2143",16,"1",3,1,"1",0.333333333333333,"18-","0.2-0.4"
"2163",40,"0",5,1,"1",0.2,"35-44","0.2-0.4"
"2212",23,"0",11,1,"1",0.0909090909090909,"18-24","0.0-0.2"
"2216",80,"0",4,1,"1",0.25,"65+","0.2-0.4"
"2302",84,"0",7,1,"1",0.142857142857143,"65+","0.0-0.2"
"2311",56,"1",5,1,"1",0.2,"55-64","0.2-0.4"
"2356",77,"0",4,1,"1",0.25,"65+","0.2-0.4"
"2360",17,"0",4,1,"1",0.25,"18-","0.2-0.4"
"2396",28,"1",8,1,"1",0.125,"25-34","0.0-0.2"
"2502",18,"0",9,1,"1",0.111111111111111,"18-","0.0-0.2"
"2504",55,"0",2,1,"1",0.5,"55-64","0.4-0.6"
"2523",81,"0",2,1,"1",0.5,"65+","0.4-0.6"
"2525",47,"1",4,1,"1",0.25,"45-54","0.2-0.4"
"2545",49,"1",8,1,"1",0.125,"45-54","0.0-0.2"
"2558",59,"0",2,1,"1",0.5,"55-64","0.4-0.6"
